(62, 35, 341, 288) (63, 33, 308, 289) 36212
(35, 17, 41, 337) (16, 23, 483, 278) 14052
(18, 27, 519, 275) (15, 21, 496, 276) 6720
(21, 26, 372, 265) (22, 27, 342, 265) 10152
(62, 58, 341, 265) (63, 57, 308, 265) 51083
(21, 24, 288, 234) (23, 26, 254, 233) 8765
(60, 134, 43, 207) (42, 144, 0, 197) 161854

( 0,  3,  6) -> ( 0,  7,  6)
(19, 24, 375, 349) (20, 25, 340, 351) 7516
(33, 15, 61, 338) (20, 15, 124, 332) 25503
(35, 17, 41, 337) (21, 23, 253, 386) 31060
(20, 15, 185, 329) (23, 28, 4, 145) 24582
(62, 35, 341, 288) (65, 33, 305, 291) 43001
(18, 27, 519, 275) (36, 54, 471, 277) 31062
(16, 23, 531, 271) (22, 20, 471, 311) 7351
(28, 41, 519, 271) (16, 22, 481, 296) 11798
(21, 26, 372, 265) (23, 27, 339, 267) 7982
(62, 58, 341, 265) (65, 57, 305, 267) 59277
(21, 24, 288, 234) (21, 26, 252, 234) 8959
(60, 134, 43, 207) (28, 174, 0, 168) 199404

( 0,  3,  6) -> ( 0,  8,  6)
(19, 24, 375, 349) (20, 25, 328, 349) 7787
(33, 15, 61, 338) (22, 22, 455, 307) 16884
(35, 17, 41, 337) (20, 14, 107, 330) 25845
(20, 15, 185, 329) (7, 77, 0, 241) 48338
(62, 35, 341, 288) (65, 33, 293, 289) 47983
(18, 27, 519, 275) (21, 30, 464, 290) 11243
(16, 23, 531, 271) (39, 52, 455, 277) 21370
(28, 41, 519, 271) (17, 25, 477, 277) 13930
(21, 26, 372, 265) (23, 24, 327, 268) 11405
(62, 58, 341, 265) (65, 54, 293, 268) 72065
(21, 24, 288, 234) (23, 27, 238, 231) 10242

( 0,  3,  6) -> ( 0,  9,  6)
(19, 24, 375, 349) (21, 21, 325, 352) 8044
(33, 15, 61, 338) (39, 55, 450, 278) 35676
(35, 17, 41, 337) (32, 18, 305, 290) 26287
(20, 15, 185, 329) (21, 14, 95, 333) 6139
(62, 35, 341, 288) (30, 26, 324, 290) 40480
(18, 27, 519, 275) (49, 53, 305, 270) 62714
(16, 23, 531, 271) (22, 23, 450, 310) 8620
(28, 41, 519, 271) (30, 27, 456, 294) 22327
(21, 26, 372, 265) (14, 21, 475, 278) 13379
(21, 24, 288, 234) (24, 26, 234, 233) 10536

( 0,  3,  6) -> ( 0, 10,  6)
(19, 24, 375, 349) (21, 26, 310, 349) 9394
(33, 15, 61, 338) (39, 64, 431, 268) 40679
(35, 17, 41, 337) (18, 19, 222, 390) 27233
(20, 15, 185, 329) (21, 15, 73, 330) 7393
(18, 27, 519, 275) (22, 28, 431, 297) 15187
(16, 23, 531, 271) (27, 49, 443, 268) 16551
(21, 26, 372, 265) (22, 23, 309, 268) 8685
(21, 24, 288, 234) (24, 26, 218, 231) 9638

( 0,  3,  6) -> ( 0, 11,  6)
(19, 24, 375, 349) (18, 18, 195, 390) 10037
(62, 147, 41, 207) (21, 24, 287, 351) 191754
(60, 134, 43, 207) (22, 14, 38, 329) 183942
(33, 15, 61, 338) (19, 17, 405, 315) 13149
(20, 15, 185, 329) (19, 25, 405, 315) 13096
(16, 23, 531, 271) (14, 24, 422, 298) 6835
(35, 17, 41, 337) (14, 19, 413, 291) 13195
(62, 35, 341, 288) (67, 33, 249, 288) 51683
(28, 41, 519, 271) (16, 32, 429, 277) 14035
(18, 27, 519, 275) (13, 23, 420, 276) 9873
(21, 26, 372, 265) (24, 26, 285, 265) 11390
(62, 58, 341, 265) (67, 56, 249, 265) 70630
(21, 24, 288, 234) (24, 27, 194, 228) 8145

( 0,  4,  6) -> ( 0,  5,  6)
(18, 24, 366, 348) (21, 35, 504, 282) 24979
(41, 17, 29, 336) (22, 14, 11, 338) 6186
(19, 14, 171, 328) (19, 14, 151, 330) 3790
(22, 16, 499, 308) (52, 35, 4, 317) 34986
(62, 31, 331, 288) (62, 34, 320, 289) 35706
(14, 25, 523, 278) (38, 55, 487, 272) 27236
(20, 35, 517, 278) (22, 20, 487, 307) 9305
(20, 26, 364, 264) (22, 24, 352, 268) 7316
(62, 55, 331, 264) (62, 55, 320, 268) 47237
(20, 21, 279, 236) (24, 22, 265, 237) 8812
(61, 140, 25, 199) (29, 22, 11, 319) 174946
(28, 19, 39, 196) (16, 17, 497, 275) 24817
(61, 157, 25, 196) (19, 22, 355, 349) 215381

( 0,  4,  6) -> ( 0,  6,  6)
(61, 157, 25, 196) (17, 16, 258, 387) 198108
(18, 24, 366, 348) (17, 22, 258, 387) 9341
(41, 17, 29, 336) (20, 15, 9, 339) 8403
(19, 14, 171, 328) (21, 14, 134, 330) 3556
